season,dekad_idx,pivot_id,aeti_mm,npp_gC_m2
2021/22,2,151,32.36606061,55.18527273
2021/22,2,160,33.66384522,54.68961306
2021/22,3,35,7.665480427,4.987838078
2021/22,3,38,8.506283662,10.05259425
2021/22,3,43,2.641933288,1.712872703
2021/22,3,46,2.383710407,1.796371041
2021/22,3,48,2.790502793,1.66476257
2021/22,3,49,2.903794038,1.670596206
2021/22,3,56,2.524880709,1.500995228
2021/22,3,61,7.458450704,7.964415493
2021/22,3,62,2.665745856,1.636035912
2021/22,3,77,6.242788462,7.466105769
2021/22,3,78,5.110970996,5.911134931
2021/22,3,79,6.904418395,7.8925789
2021/22,3,80,6.047450425,7.274412181
2021/22,3,89,15.98110567,20.28284815
2021/22,3,90,21.13076923,26.69460839
2021/22,3,91,9.419607843,11.81383007
2021/22,3,92,7.68356998,9.271994591
2021/22,3,97,18.9862259,23.84837466
2021/22,3,98,7.878434066,9.332733516
2021/22,3,99,22.39883126,28.41340394
2021/22,3,119,12.66520788,15.52827863
2021/22,3,120,13.32091691,16.75540115
2021/22,3,121,26.3550377,37.11403016
2021/22,3,128,25.50791367,35.01132374
2021/22,3,129,29.37691746,42.13550037
2021/22,3,130,17.4019245,21.98400444
2021/22,3,131,27.37779434,37.1121386
2021/22,3,132,26.39600551,35.21384298
2021/22,3,133,24.09246831,30.88412379
2021/22,3,134,12.20250368,12.39902798
2021/22,3,137,19.50917993,24.88099143
2021/22,3,138,11.91915761,14.80113451
2021/22,3,139,21.8890411,28.32014384
2021/22,3,141,22.07970027,28.12322888
2021/22,3,142,25.0719671,32.66845099
2021/22,3,143,28.41320626,41.35391423
2021/22,3,144,12.73153899,16.47338854
2021/22,3,145,16.02403846,20.94654533
2021/22,3,146,23.30816078,29.9264799
2021/22,3,147,13.21182701,17.11435128
2021/22,3,148,13.89886893,17.64365269
2021/22,3,149,29.99453552,45.39642077
2021/22,3,150,17.09821429,22.31079082
2021/22,3,151,29.68969697,47.12431515
2021/22,3,160,30.51390568,47.30678356
2021/22,4,35,8.169928826,5.775017794
2021/22,4,38,7.140933573,8.575888689
2021/22,4,43,2.840707965,2.353539823
2021/22,4,46,2.980995475,3.022570136
2021/22,4,48,3.120111732,2.73978352
2021/22,4,49,3.261517615,2.779817073
2021/22,4,56,2.623721881,2.190988412
2021/22,4,61,5.947887324,6.363633803
2021/22,4,62,2.892955801,2.397638122
2021/22,4,77,7.385817308,9.053798077
2021/22,4,78,7.997477932,10.08437579
2021/22,4,79,9.737601443,12.47241659
2021/22,4,80,7.413597734,9.168611898
2021/22,4,89,14.53673898,18.45709587
2021/22,4,90,19.37832168,23.71165734
2021/22,4,91,9.290196078,12.06433987
2021/22,4,92,9.073022312,11.50398918
2021/22,4,97,16.54269972,20.92594353
2021/22,4,98,8.710164835,10.88682005
2021/22,4,99,20.14463112,25.60546384
2021/22,4,119,12.28665208,14.89350839
2021/22,4,120,11.77507163,15.06996418
2021/22,4,121,22.34681289,30.38841672
2021/22,4,128,21.7294964,28.70156115
2021/22,4,129,24.55003652,34.18367421
2021/22,4,130,12.74241303,16.37433013
2021/22,4,131,23.59016393,31.23968703
2021/22,4,132,22.565427,29.17389118
2021/22,4,133,21.45488441,27.1157569
2021/22,4,134,12.80191458,12.9815243
2021/22,4,137,14.96328029,19.33838433
2021/22,4,138,11.36888587,14.00497283
2021/22,4,139,19.5239726,25.135
2021/22,4,141,20.2506812,25.22837193
2021/22,4,142,21.7114462,27.80498286
2021/22,4,143,23.45541184,32.9975017
2021/22,4,144,8.829537612,11.30020014
2021/22,4,145,11.2760989,14.84145604
2021/22,4,146,20.83556638,26.73014616
2021/22,4,147,9.600176523,12.4059135
2021/22,4,148,10.30405855,13.01083832
2021/22,4,149,24.90983607,36.53164845
2021/22,4,150,13.19005102,17.43771684
2021/22,4,151,25.04363636,37.72734545
2021/22,4,160,25.38331318,37.90246675
2021/22,5,35,11.79270463,8.526409253
2021/22,5,38,9.288779174,11.08230251
2021/22,5,43,3.800204221,3.702619469
2021/22,5,46,4.802171946,5.467746606
2021/22,5,48,4.449930168,4.548953212
2021/22,5,49,4.709281843,4.759325881
2021/22,5,56,3.620177232,3.584080436
2021/22,5,61,7.678309859,8.163866901
2021/22,5,62,4.121961326,4.109160912
2021/22,5,77,9.061778846,11.06125361
2021/22,5,78,14.85485498,18.11251955
2021/22,5,79,16.1915239,20.07503968
2021/22,5,80,9.172379603,11.30614589
2021/22,5,89,18.68460462,22.63430511
2021/22,5,90,23.65846154,28.69529231
2021/22,5,91,10.55137255,13.22513464
2021/22,5,92,11.61359026,14.37010548
2021/22,5,97,21.03636364,25.29515152
2021/22,5,98,10.39787088,12.83239148
2021/22,5,99,25.20277575,31.36697005
2021/22,5,119,15.83005106,19.24877243
2021/22,5,120,12.84620344,16.07662607
2021/22,5,121,26.05243317,34.05638451
2021/22,5,128,25.43294964,32.14014029
2021/22,5,129,28.44572681,38.01103433
2021/22,5,130,12.09430052,14.97639822
2021/22,5,131,27.91147541,35.3272459
2021/22,5,132,26.63409091,32.58608333
2021/22,5,133,25.80775541,32.16201491
2021/22,5,134,17.61215022,17.77344845
2021/22,5,137,14.97992656,18.57630722
2021/22,5,138,12.90706522,15.32533152
2021/22,5,139,24.04027397,30.03626096
2021/22,5,141,24.9972752,30.32211444
2021/22,5,142,25.98533242,32.27247704
2021/22,5,143,27.24690265,36.38898843
2021/22,5,144,9.318495514,11.35486197
2021/22,5,145,12.02671703,15.09952473
2021/22,5,146,25.92971985,32.52180146
2021/22,5,147,10.24660194,12.89708738
2021/22,5,148,11.26786427,14.06615303
2021/22,5,149,29.06885246,40.42661293
2021/22,5,150,13.0877551,16.83110842
2021/22,5,151,29.37866667,41.80248
2021/22,5,160,29.72261185,41.91309915
2021/22,6,35,8.068505338,9.606797153
2021/22,6,38,5.830341113,12.17767504
2021/22,6,43,2.307692308,4.044125255
2021/22,6,46,3.102262443,6.425022624
2021/22,6,48,2.462988827,4.901138268
2021/22,6,49,2.99796748,5.431802168
2021/22,6,56,2.440354465,4.149338787
2021/22,6,61,5.047183099,9.75865493
2021/22,6,62,2.658839779,4.803777624
2021/22,6,77,4.272836538,9.089855769
2021/22,6,78,11.04918033,23.10174023
2021/22,6,79,9.924256087,20.92017133
2021/22,6,80,3.511331445,7.419879603
2021/22,6,89,11.3519944,22.80281316
2021/22,6,90,13.97482517,28.32223776
2021/22,6,91,4.050980392,8.791882353
2021/22,6,92,5.104800541,10.72993239
2021/22,6,97,12.66391185,24.89566116
2021/22,6,98,4.464285714,8.696263736
2021/22,6,99,14.48356465,30.22483565
2021/22,6,119,9.551422319,19.58773158
2021/22,6,120,6.063037249,12.58063037
2021/22,6,121,14.01507882,30.9098218
2021/22,6,128,13.49496403,29.33492086
2021/22,6,129,15.19576333,34.6441198
2021/22,6,130,5.441894893,10.60800888
2021/22,6,131,15.23546945,32.44479881
2021/22,6,132,14.33195592,29.60212121
2021/22,6,133,14.58538404,30.63506339
2021/22,6,134,11.33946981,19.05865243
2021/22,6,137,6.862913097,13.97310894
2021/22,6,138,5.807744565,11.58540761
2021/22,6,139,14.11712329,28.74980822
2021/22,6,141,14.08378747,28.7321594
2021/22,6,142,14.45647704,30.03944483
2021/22,6,143,15.04356705,33.17562968
2021/22,6,144,5.46652864,10.65365079
2021/22,6,145,6.839285714,13.86590659
2021/22,6,146,15.11084044,30.65526188
2021/22,6,147,5.291262136,11.31936452
2021/22,6,148,6.175648703,12.85631404
2021/22,6,149,15.92531876,36.5332969
2021/22,6,150,5.581632653,11.70992347
2021/22,6,151,16.12363636,38.00069091
2021/22,6,160,16.18137848,37.91818622
2021/22,7,35,12.49199288,9.893807829
2021/22,7,38,9.672351885,12.50282765
2021/22,7,43,3.746085773,4.489482641
2021/22,7,46,5.351131222,7.205095023
2021/22,7,48,4.141759777,5.498701117
2021/22,7,49,5.287262873,6.213421409
2021/22,7,56,4.185412406,4.899754601
2021/22,7,61,9.047183099,10.75077465
2021/22,7,62,4.664364641,5.436754144
2021/22,7,77,6.213942308,8.470108173
2021/22,7,78,18.66708701,25.11363178
2021/22,7,79,13.69431921,18.40658251
2021/22,7,80,3.5601983,4.811713881
2021/22,7,89,19.18264521,23.85837649
2021/22,7,90,22.41258741,28.72792308
2021/22,7,91,4.31503268,5.848705882
2021/22,7,92,5.630831643,7.121446924
2021/22,7,97,20.11914601,24.87050964
2021/22,7,98,4.798763736,5.421353022
2021/22,7,99,23.05697589,29.70653762
2021/22,7,119,15.72574763,19.98067834
2021/22,7,120,8.736389685,11.12081662
2021/22,7,121,22.30294722,29.5220562
2021/22,7,128,21.68345324,28.13922302
2021/22,7,129,24.53323594,33.37696129
2021/22,7,130,7.520355292,9.364159882
2021/22,7,131,24.0119225,31.2371237
2021/22,7,132,22.4731405,28.42093664
2021/22,7,133,23.13348248,30.08609993
2021/22,7,134,18.01399116,19.58647275
2021/22,7,137,9.812729498,12.45386781
2021/22,7,138,6.961277174,8.682486413
2021/22,7,139,21.64794521,28.04613699
2021/22,7,141,21.91416894,28.01018392
