pivot_id,2021/22,2022/23,2023/24,2024/25
0,,,,1.9160213889986029
1,,,1.8236349166784582,1.5162014695280974
2,,,,1.873771296233491
3,,,,1.7943808377585735
4,,1.6464032406569653,1.631898110364163,
5,,,1.682821292975109,1.8758262560131238
6,,,1.381383234713875,
7,,,1.6696210787677372,1.9189243894997188
8,,,,1.812637129467538
9,,1.7190306880409212,,1.4757041155403905
10,,,,1.776239719406678
11,,,1.7847721456626013,1.6156419052874367
12,,,1.8453634223834516,1.5054656298408624
13,,,1.8610003956283767,1.3845607475488166
14,,1.7440190445874608,,
15,,1.675859473963485,,
16,,,1.5204661074508004,
17,,,1.7479190994567206,1.814986256597995
18,,,1.6842190785863453,1.8957310105099812
19,,1.5643312741342859,1.6932485046791645,1.76027792699841
20,,,,
21,,,1.7617930032185103,
22,,,1.6608888136360682,1.3720499986830126
23,,1.6329983408622235,,1.795199757746798
24,,1.5405232685473924,1.7185380090890172,1.5811923787382944
25,,,1.6889911655651455,1.8718303611481142
26,,,1.6894512178174006,1.9176595916055514
27,,1.6006586666144051,1.577993583358458,
28,,1.507191029583028,1.6316965443508762,1.7696055384663645
29,,,1.9180452647169934,1.436721904355851
30,,1.7039176073835935,,
31,,1.5963444621652514,,
32,,,1.8454265922174589,1.9883453072461599
33,,,,1.4877800466818942
34,,,1.5819159916447878,1.444400090842199
35,1.5299880481773338,1.74677387728452,,1.5733535740664775
36,,,,
37,,,,
38,2.4111936601095247,,,
39,,1.5775883035352762,,1.4987176729709022
40,,1.6082164546316216,,1.7142967723704217
41,,1.5468867761661134,1.47581280893931,
42,,,,1.804717014492869
43,2.195222375202112,,,2.7462437676574654
44,,,1.6062145808953112,
45,,1.7298959375077023,,
46,2.2574753716877614,2.6106359679036863,,2.515034986372411
47,,1.7338647307234487,,1.8832728136424932
48,2.2277724064250033,2.6361493556115905,,
49,2.1731536256840895,2.5786875076587195,,
50,,1.7121113964161732,,1.651913848990295
51,,,,1.471349559932054
52,,1.7178346443725123,1.7906157860888592,
53,,1.4063944280124498,,
54,,,,
55,,1.5156997285540779,1.5696439145034862,
56,2.2531138094609093,2.4861864218527323,,3.0162936486939538
57,,1.5842157098225598,,
58,,1.6557607097647358,,
59,,1.6132994665902018,,1.76459108587813
60,,1.4918000614415905,,1.8701786669921565
61,2.193441412851458,2.2858856686104514,,
62,2.205184816461459,,,
63,,1.5297572845263985,,
64,,1.4984797575357516,,
65,,,,1.700581462664648
66,,,,
67,,1.566485447867281,,1.6790930204095103
68,,1.5472537911035078,,1.654803846975155
69,,2.8850365376711227,,2.5445488547887263
70,,1.5785458449468672,,1.6979056810850235
71,,1.717933307910975,,1.6006054191965247
72,,1.4115812271803743,,1.7255179472098205
73,,1.5366103668820352,,1.6622799888854074
74,,1.5791313273595562,,
75,,2.8916586460719924,,2.4620872150433253
76,,,,
77,2.1931376556534197,2.7211431354186177,3.004239150211774,2.462035714949827
78,2.4201865877876183,2.968609743238313,,2.6181944004930293
79,2.1747397570079734,2.922123726130145,,2.5561432740085905
80,2.144246330616097,2.906281115188579,,2.4896206406531354
81,,1.559702877208766,,
82,,,,1.3899622539893812
83,,1.5885843650567577,,
84,,1.571088736751976,,1.4174014349117416
85,,1.5480466195451803,,1.4214100184700376
86,,1.549663082293208,1.7384073732572765,1.9312794484161864
87,,1.5151277433679633,1.757519182954118,
88,,1.5280887718694243,1.6461204429275251,
89,2.482212097781509,2.938747208019893,,2.4926772426229946
90,2.5128097945862256,,2.471123161237465,2.369685064891847
91,2.212071297799203,2.904429476904752,,2.650032196190059
92,2.175826951107367,,2.712016403753865,2.4330068386767887
93,,2.8370449789311283,,2.5839182836838845
94,,1.7681537193738028,,1.7344103897334244
95,,1.7692771245604413,,1.9610586795645473
96,,2.8405667327667534,,2.6161647607311393
97,2.5347613733417336,2.9157310035427297,,2.7138125437344964
98,2.1776665679789113,2.859906997330187,,2.700882857948918
99,2.575202877339915,,2.9094184466107333,
100,,,1.6759726385207556,1.819605011596858
101,,,,1.8596107758118363
102,,1.5355457305397509,1.800251497627881,1.6428663913964001
103,,1.439201052618396,1.5882319249840868,1.8956171588580726
104,,1.5225095704139333,1.704170049843878,1.7434580759921414
105,,,,1.514821247714166
106,,1.5093205296830687,1.7228641213479423,1.7644294824338291
107,,,,1.520983809434387
108,,1.5218904620020344,1.739782839793234,1.8413780990773319
109,,,1.9391514235259244,1.9393576425424006
110,,,1.7727434808863523,2.0409902883542164
111,,1.5010578270852442,1.7961292900075556,
112,,1.535161105313736,1.8690261611824313,
113,,,,1.8937260306875205
114,,1.5240965324375668,1.8049313298886662,
115,,,,1.5003579612855444
116,,,1.7904890519659948,1.6471897081816154
117,,1.528125006485906,1.8086811055847407,1.9089515410420914
118,,2.871526824361148,2.658199818528241,
119,2.4867731200169554,,2.8847994337557137,
120,2.3049614504671316,2.8326962145035437,,2.7885163019745405
121,2.700148250066483,,2.981424520314414,2.5004565469921087
122,,1.5140406795658328,1.8504351815331372,1.894959953108103
123,,1.6399215893246837,1.6690828747407416,
124,,1.641626179601215,1.998765443435244,1.7184206747312396
125,,1.755647564223944,1.842959276428423,
126,,1.7178013470942008,1.6621022903242153,
127,,2.7296143707213343,,
128,2.69623798154319,,2.7751110813036095,
129,2.7705907962983987,,2.8834686197852077,2.8097032770866055
130,2.296292897456918,,2.4828473795915134,
131,2.5946903676875865,,2.7780121486612144,
132,2.5479307780917453,,2.874272442016143,
133,2.5652023050526096,,2.671422660860737,
134,2.055260755254761,,2.4250770831491457,
135,,1.7693233131119215,,
136,,,2.580191776054611,
137,2.3325058644640646,,2.4993054395169514,2.6442181953599615
138,2.131138703874369,,2.3472194085883857,
139,2.577278548342654,2.543504937987828,,2.6280688615801493
140,,,2.95050947206065,
141,2.538114355223633,2.5482218897072713,,2.574718198814288
